DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
"8/1/2023 12:00:00 AM +00:00","8/1/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,Bing,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,PREVHOST.EXE,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,Microsoft Edge,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,"Microsoft To Do: Lists, Tasks & Reminders",Unknown
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,Microsoft Edge (Legacy),Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,Windows Components,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,office.com,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,MSN Web,Microsoft Corporation
"7/31/2023 12:00:00 AM +00:00","7/31/2023 11:59:59 PM +00:00",,Daily,account.microsoft.com,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Office Shared Components,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Ease of Access Dialog Host,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,iCloud,Unknown
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,MICROSOFTTEAMS,Unknown
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Microsoft Store,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,CREDENTIALUIBROKER.EXE,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Microsoft Sticky Notes,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Adobe Acrobat,Adobe Systems
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Microsoft Edge (Legacy),Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Windows Components,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,MICROSOFTWINDOWS.CLIENT.CBS,Unknown
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Microsoft Edge,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,office.com,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,MSN App,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,MSN Web,Microsoft Corporation
"7/30/2023 12:00:00 AM +00:00","7/30/2023 11:59:59 PM +00:00",,Daily,Bing,Microsoft Corporation
"7/29/2023 12:00:00 AM +00:00","7/29/2023 11:59:59 PM +00:00",,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
"7/29/2023 12:00:00 AM +00:00","7/29/2023 11:59:59 PM +00:00",,Daily,Microsoft Office,Microsoft Corporation
"7/29/2023 12:00:00 AM +00:00","7/29/2023 11:59:59 PM +00:00",,Daily,OneDrive,Microsoft Corporation
"7/29/2023 12:00:00 AM +00:00","7/29/2023 11:59:59 PM +00:00",,Daily,Microsoft Outlook,Microsoft Corporation
"7/29/2023 12:00:00 AM +00:00","7/29/2023 11:59:59 PM +00:00",,Daily,MSN App,Microsoft Corporation
"7/29/2023 12:00:00 AM +00:00","7/29/2023 11:59:59 PM +00:00",,Daily,Bing,Microsoft Corporation
"7/28/2023 12:00:00 AM +00:00","7/28/2023 11:59:59 PM +00:00",,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
